cName,cType,每秒字节数,服务器地理位置,客户端地理位置,客户端端口,服务器,客户端,请求字节数,响应时间,请求接收端,客户端网段,请求发起端,开始时间
="2409:8c60:2400:0:0:0:0:85ex5228xmapsystm.icbc.com.cn",="1(A)",="346.00 Bps",="中国",="中国",="51753",="2409:871E:8200:4::FFFB",="2409:8060:20EA:113::2",="147.00 B",="990.81us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8060:20EA:113::2",="2022-10-22 18:20:09.082520528"
="2409:8c60:2400:0:0:0:0:85ex8710xmapsystm.icbc.com.cn",="1(A)",="346.00 Bps",="中国",="中国",="57298",="2409:871E:8200:4::FFFB",="2409:8060:20EA:111::1",="147.00 B",="880.53us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8060:20EA:111::1",="2022-10-22 18:20:03.701327967"
="45-115-167-32x1684xmapsystm.icbc.com.cn",="1(A)",="320.00 Bps",="中国",="中国",="58803",="2409:871E:8200:4::FFFB",="2409:8020:2000:223::8",="134.00 B",="1.09ms",="2409:871E:8200:4::FFFB",="未知网段",="2409:8020:2000:223::8",="2022-10-22 18:19:53.745903038"
="45-115-167-32x2584xmapsystm.icbc.com.cn",="1(A)",="320.00 Bps",="中国",="中国",="33021",="2409:871E:8200:4::FFFB",="2409:8020:2000:223::8",="134.00 B",="980.23us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8020:2000:223::8",="2022-10-22 18:19:43.838609165"
="45-115-167-32x8821xmapsystm.icbc.com.cn",="1(A)",="320.00 Bps",="中国",="中国",="56578",="2409:871E:8200:4::FFFB",="2409:8020:2000:223::B",="134.00 B",="918.94us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8020:2000:223::B",="2022-10-22 18:19:42.002021787"
="45-115-167-32x8234xmapsystm.icbc.com.cn",="1(A)",="320.00 Bps",="中国",="中国",="50659",="2409:871E:8200:4::FFFB",="2409:8020:2000:223::9",="134.00 B",="882.15us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8020:2000:223::9",="2022-10-22 18:19:40.075859085"
="36-156-127-62x9064xmapsystm.icbc.com.cn",="1(A)",="320.00 Bps",="中国",="中国",="36654",="2409:871E:8200:4::FFFB",="2409:8020:2000:824::9",="134.00 B",="979.69us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8020:2000:824::9",="2022-10-22 18:19:38.000478343"
="240e:f7:d100:0:0:0:0:5bx2609xmapsystm.icbc.com.cn",="1(A)",="340.00 Bps",="中国",="中国",="36741",="2409:871E:8200:4::FFFB",="240E:1C:6200:2::5",="144.00 B",="913.27us",="2409:871E:8200:4::FFFB",="未知网段",="240E:1C:6200:2::5",="2022-10-22 18:19:31.692816509"
="14-29-116-13x7551xmapsystm.icbc.com.cn",="1(A)",="318.00 Bps",="中国",="中国",="50942",="2409:871E:8200:4::FFFB",="240E:5E:4004:8018::2",="133.00 B",="904.65us",="2409:871E:8200:4::FFFB",="未知网段",="240E:5E:4004:8018::2",="2022-10-22 18:19:30.737613494"
="14-29-116-13x6698xmapsystm.icbc.com.cn",="1(A)",="318.00 Bps",="中国",="中国",="42392",="2409:871E:8200:4::FFFB",="240E:5E:4004:801A::2",="133.00 B",="894.85us",="2409:871E:8200:4::FFFB",="未知网段",="240E:5E:4004:801A::2",="2022-10-22 18:19:22.724888229"
="221-178-32-194x3271xmapsystm.icbc.com.cn",="1(A)",="322.00 Bps",="中国",="中国",="38594",="2409:871E:8200:4::FFFB",="2409:8060:20EA:113::2",="135.00 B",="919.18us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8060:20EA:113::2",="2022-10-22 18:19:21.803790415"
="117-161-179-77x3067xmapsystm.icbc.com.cn",="1(A)",="322.00 Bps",="中国",="中国",="54568",="2409:871E:8200:4::FFFB",="2409:8010:2000:1001::22",="135.00 B",="753.24us",="2409:871E:8200:4::FFFB",="未知网段",="2409:8010:2000:1001::22",="2022-10-22 18:19:15.878754112"
="240e:f7:d100:0:0:0:0:5bx2368xmapsystm.icbc.com.cn",="1(A)",="340.00 Bps",="中国",="中国",="64604",="2409:871E:8200:4::FFFB",="240E:1C:6200:1::6",="144.00 B",="985.6us",="2409:871E:8200:4::FFFB",="未知网段",="240E:1C:6200:1::6",="2022-10-22 18:19:14.130325798"
